site,rbt_id,cleaner_did,cl_pcb_model,tc_did,tc_pcb_model,breakdown_status,running_status,work_status
Indave,RBT 1,0013A20041BFD843,Old,0013A20041AF0E8F,Old,,,
Indave,RBT 2,0013A20041B4E69F,Old,0013A20041BFD59F,Old,,,
Indave,RBT 3,0013A200421A1CAD,New,,Old,,,
Indave,RBT 4,0013A20041AE9BF8,Old,0013A200421BABA9,New,,,
Indave,RBT 5,0013A20041A0B364,Old,0013A200421BB5EB,New,,,
Indave,RBT 6,0013A200421A1C87,New,0013A200421A2C4C,New,,,
Indave,RBT 7,0013A20041B51AEF,Old,0013A200421BB503,New,,,
Indave,RBT 8,0013A20041B51C8A,Old,0013A20041B4FD48,Old,,,
Indave,RBT 9,0013A20041B51B22,Old,0013A20041B4FD05,Old,,,
Indave,RBT 10,0013A20041B4E6EE,Old,0013A200421BAB90,New,,,
Indave,RBT 11,0013A20041B51A78,Old,0013A20041E62D24,Old,,,
Indave,RBT 12,0013A20041B51B0A,Old,0013A20041B4F5BF,Old,,,
Indave,RBT 13,0013A20041B51A84,Old,0013A20041B4FA81,Old,,,
Indave,RBT 14,0013A20041B51B3C,Old,0013A20041B4FA71,Old,,,
Indave,RBT 15,0013A20041B51A46,Old,0013A20041B4FEFE,Old,,,
Indave,RBT 16,0013A20041B51233,Old,0013A200421BB41D,New,,,
Indave,RBT 17,0013A20041EFBBFC,Old,0013A20041AF0EEB,Old,,,
Indave,RBT 18,0013A200421A21C1,New,,Old,,,
Indave,RBT 19,0013A20041A79FF8,Old,,Old,,,
Indave,RBT 20,0013A200421AC3E1,New,,Old,,,
Indave,RBT 21,0013A200421BB52B,New,,Old,,,
Indave,RBT 25,0013A200421BB39E,New,,Old,,,
Kasare,RBT 1,0013A20041B4FE31,Old,0013A20041A7A7CA,Old,,,
Kasare,RBT 2,0013A200421BCFEC,New,0013A200420E5FE0,Old,,,
Kasare,RBT 3,0013A200421AC48A,New,0013A2004212BD35,New,,,
Kasare,RBT 4,0013A200421A1534,New,0013A200421AC559,New,,,
Kasare,RBT 5,0013A2004219F70D,New,0013A200421A24AC,New,,,
Kasare,RBT 6,0013A200421A248B,New,0013A200421BB3F3,New,,,
Kasare,RBT 7,0013A200421BC2AD,New,0013A200421BB4E4,New,,,
Kasare,RBT 8,0013A200421A154E,New,0013A200421AC559,New,,,
Kasare,RBT 9,0013A200420DC08F,Old,0013A200421A1B14,New,,,
Kasare,RBT 10,,Old,0013A20042196DE0,New,,,
Kasare,RBT 11,0013A200421A14B1,New,0013A2004212C2E7,New,,,
Kasare,RBT 12,0013A2004212BEEA,New,,Old,,,
Kasare,RBT 13,0013A20042196B9C,New,0013A200421967D2,New,,,
Kasare,RBT 14,,Old,0013A200421A1577,New,,,
Kasare,RBT 15,0013A200421BD3C5,New,0013A2004219686E,New,,,
Kasare,RBT 16,0013A200421AC5C2,New,0013A200421A1487,New,,,
Kasare,RBT 17,0013A200421A20B5,New,,Old,,,
Kasare,RBT 18,0013A20041A7A9D9,Old,,Old,,,
Parola,RBT 1,0013A200421BB587,New,0013A200421BB4D3,New,,,
Parola,RBT 2,0013A200421AC4CC,New,0013A200421BB59F,New,,,
Parola,RBT 3,0013A200421BB38E,New,0013A200421BB4EC,New,,,
Parola,RBT 4,,Old,,Old,,,
Parola,RBT 5,0013A200421BB435,New,0013A200421BB3AF,New,,,
Parola,RBT 6,0013A200421BAB62,New,0013A200421BB3AF,New,,,
Parola,RBT 7,0013A200421BB39A,New,0013A200421BB3AF,New,,,
Parola,RBT 8,0013A200421BAB5C,New,0013A200421BA1EC,New,,,
Parola,RBT 9,0013A200421BB1C2,New,0013A200421BB559,New,,,
Parola,RBT 10,,Old,,Old,,,
Parola,RBT 11,0013A,Old,0013A200421BABAF,New,,,
Parola,RBT 12,0013A2004212BED7,New,0013A200421BAB90,New,,,
Parola,RBT 13,0013A200421A2096,New,,Old,,,
Parola,RBT 14,0013A200421A214C,New,0013A200421A24B1,New,,,
